"Date","Price"
1,171.5
2,173.2
3,175.95
4,172.1
5,173.9
6,172.7
7,172.95
8,173.7
9,167.8
10,169.6
11,171.6
12,178.75
13,178.75
14,170.5
15,173.5
16,175.95
17,174.3
18,174.1
19,170.8
20,171.4
21,169.75
22,166.4
23,166.6
24,176.45
25,176
26,175.7
27,174.65
28,170.65
29,172.75
30,174.2
31,172.15
32,165.55
33,175.55
34,170.5
35,176.4
36,176
37,185.8
38,194.65
39,180.9
40,173.95
41,172.65
42,171.35
43,167.55
44,161.85
45,163.7
46,161.05
47,156.55
48,159.35
49,156.8
50,161.65
51,145.85
52,128.25
53,125.55
54,116.5
55,116.55
56,117.3
57,114.6
58,113.45
59,112
60,98.35
61,101.4
