Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,LTP,CLOSE,VWAP,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2020-12-01,EQ,2275,"2,275.00","2,206.20","2,215.30","2,226.00",2230.05,"2,231.26","2,275.00","1,431.20",2235498,"4,98,79,77,027.90",76577
2020-12-02,EQ,2241,"2,325.95","2,236.00","2,230.05","2,314.00",2315.85,"2,289.42","2,325.95","1,431.20",3305952,"7,56,86,97,101.45",114983
2020-12-03,EQ,2340,"2,421.85","2,316.25","2,315.85","2,403.90",2411.4,"2,375.88","2,421.85","1,431.20",4334658,"10,29,86,20,541.45",130221
2020-12-04,EQ,2400,"2,445.00","2,375.00","2,411.40","2,444.00",2438.75,"2,411.24","2,445.00","1,431.20",2789953,"6,72,72,47,245.00",101116
2020-12-07,EQ,2440,"2,478.80","2,437.00","2,438.75","2,474.00",2472.55,"2,459.37","2,478.80","1,431.20",1762501,"4,33,46,39,701.50",58956
2020-12-08,EQ,2470.55,"2,484.20","2,427.95","2,472.55","2,445.00",2438.9,"2,450.57","2,484.20","1,431.20",2090950,"5,12,40,20,649.95",92968
2020-12-09,EQ,2450,"2,532.10","2,447.00","2,438.90","2,528.00",2522.3,"2,487.63","2,532.10","1,431.20",2022370,"5,03,09,14,337.00",94161
2020-12-10,EQ,2515.95,"2,552.00","2,501.00","2,522.30","2,530.00",2526.05,"2,524.75","2,552.00","1,431.20",2372909,"5,99,10,12,482.35",86158
2020-12-11,EQ,2516,"2,536.90","2,495.00","2,526.05","2,518.00",2520.95,"2,512.41","2,552.00","1,431.20",2171653,"5,45,60,82,720.15",84201
2020-12-14,EQ,2530,"2,553.90","2,521.00","2,520.95","2,541.90",2548.15,"2,538.98","2,553.90","1,431.20",1280339,"3,25,07,51,660.35",69794
2020-12-15,EQ,2535,"2,538.60","2,502.50","2,548.15","2,531.05",2527.45,"2,525.97","2,553.90","1,431.20",1283286,"3,24,15,37,024.75",60317
