Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,CLOSE,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2020-12-01,EQ,867,910.7,862.15,875.75,906.75,907.8,901.32,910.7,385.05,4110405,"3,70,47,98,885.95",71148
2020-12-02,EQ,901.55,918.95,900.1,907.8,913.95,915.5,911.03,918.95,385.05,2843180,"2,59,02,33,426.70",35805
2020-12-03,EQ,921,924.9,906,915.5,910.85,910.05,911.75,924.9,385.05,1988189,"1,81,27,30,451.10",26580
2020-12-04,EQ,915.4,946.9,913.1,910.05,935.1,931.5,930.86,946.9,385.05,3030378,"2,82,08,47,112.70",48692
2020-12-07,EQ,939.95,954,930.25,931.5,935.4,937.7,942.5,954,385.05,3193047,"3,00,94,30,960.50",37561
2020-12-08,EQ,937.5,942,918.4,937.7,924.5,925.8,929.12,954,385.05,1756710,"1,63,21,88,277.90",34190
2020-12-09,EQ,926.95,933.75,916.15,925.8,919.6,920.25,923.99,954,385.05,1612127,"1,48,95,85,278.05",34239
2020-12-10,EQ,922,924.8,902.55,920.25,908.45,909.5,909.89,954,385.05,1727166,"1,57,15,23,970.60",28148
2020-12-11,EQ,909.9,915.65,901,909.5,906.3,902.25,906.22,954,385.05,1938042,"1,75,63,00,242.25",33627
2020-12-14,EQ,906.65,924,906.3,902.25,914.05,911.45,916.17,954,385.05,2044684,"1,87,32,79,863.15",34287
2020-12-15,EQ,912,917.7,903,911.45,913.95,912,909.29,954,385.05,1462088,"1,32,94,60,938.70",25040
2020-12-16,EQ,920.4,925.3,911,912,915.45,914.8,915.91,954,385.05,1390116,"1,27,32,23,616.80",23696
2020-12-17,EQ,915.9,926.4,912,914.8,914,912.7,917.09,954,385.05,1476800,"1,35,43,64,019.00",24920
2020-12-18,EQ,912,916.75,902,912.7,908.45,909.65,907.82,954,385.05,2216049,"2,01,17,84,560.60",35158
2020-12-21,EQ,909.6,909.95,868.3,909.65,871,877.35,890,954,385.05,1905028,"1,69,54,68,617.60",32316
2020-12-22,EQ,877.35,889.4,863.35,877.35,885,885.2,875.15,954,385.05,1708372,"1,49,50,80,754.85",32239
2020-12-23,EQ,886.1,909,881.35,885.2,897.35,902,892.77,954,385.05,2377647,"2,12,26,94,114.00",36166
2020-12-24,EQ,906.65,911.85,891.1,902,899.5,897.15,898.65,954,385.05,1420321,"1,27,63,73,495.45",24383
2020-12-28,EQ,901.2,912.35,897.1,897.15,910,906.65,905.2,954,385.05,1489896,"1,34,86,56,606.50",22222
2020-12-29,EQ,911,922.65,906.2,906.65,907.35,909.5,913.64,954,385.05,1624766,"1,48,44,54,942.30",32666
2020-12-30,EQ,911.1,938.95,897.3,909.5,937.1,934.4,919.69,954,385.05,2280218,"2,09,70,93,704.35",45659
